UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,SUBST_TYPE,L_LEADING,GRID_DIM,NUM_FRAMES,DIAG_INV,COMPILE,SIM,FUNC,Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
substitution,22,cfloat,16,0,0,1,1,0,1,1,1,11459.2,22458.13,1.4,11377.25,11543.0,1.45,6.0,1.0,1.0,3.0,3955.0,6356
substitution,2,float,48,0,0,6,3,1,1,1,1,5875.2,11520.74,24.84,5795.31,7902.0,25.56,89.0,21.0,21.0,44.0,49884.0,1808 4304 4288 1776 1808 1808 1808 1808 4192 1776 1808 1808 4304 1808 1776 4304 4304 1776 1776 1808 1808
substitution,22,float,480,0,0,6,1,1,1,1,0,44025.6,256510.15,3.64,131721.6,139339.0,3.78,152.0,21.0,21.0,44.0,596151.0,5638 5636 2486 2502 2502 2502 2502 5582 2486 2502 2502 5638 2486 2502 5638 5638 2486 2486 2502 2502 2502
substitution,2,float,208,0,0,2,1,0,1,1,1,68329.6,127945.17,3.04,68272.34,77566.0,3.38,29.0,3.0,3.0,6.0,139508.0,2032 7312 7328
substitution,22,cfloat,144,0,0,6,1,1,1,1,1,20051.2,66267.63,-1.0,-1.0,39409.0,4.21,95.0,21.0,21.0,42.0,141777.0,6446 6448 2828 2844 2844 2844 2844 6390 2828 2844 2844 6450 2828 2844 6450 6450 2828 2828 2844 2844 2844
substitution,1,cfloat,16,0,0,4,3,0,default,default,default,,,,,,,,,,,,
substitution,1,cfloat,32,0,0,2,1,1,1,1,1,1865.6,2397.02,44.51,699.2,886.0,47.9,24.0,6.0,6.0,10.0,38625.0,1490 2820 1490 1934 1490 2814
substitution,22,float,64,0,0,2,4,0,1,1,1,49168.0,94564.37,5.2,49149.82,48325.0,5.65,19.0,3.0,3.0,7.0,59017.0,5732 2402 5666
substitution,22,float,128,0,0,2,2,1,1,1,1,63448.0,119175.68,4.03,63416.8,60243.0,4.6,24.0,3.0,3.0,7.0,108937.0,5732 2420 5658
substitution,1,cfloat,60,0,0,1,1,0,1,1,1,18217.59,28664.73,5.71,10504.8,5896.0,12.72,16.0,2.0,2.0,4.0,90817.0,2758 1434
substitution,2,cfloat,192,0,0,6,4,1,1,1,0,145320.0,329335.88,4.57,167904.73,207305.0,4.72,142.0,21.0,21.0,44.0,778743.0,2288 6016 6000 2256 2288 2288 2288 2288 5984 2256 2288 2288 6016 2288 2256 6016 6016 2256 2256 2288 2288
substitution,1,cfloat,36,0,0,1,3,0,default,default,default,,,,,,,,,,,,
substitution,1,float,72,0,0,3,1,0,1,1,1,1152.0,1811.52,65.04,1106.17,859.0,104.77,30.0,6.0,6.0,13.0,24622.0,1812 1874 3188 1812 3236 3252
substitution,2,cfloat,256,0,0,4,2,1,1,1,0,214432.0,623171.65,1.6,317858.09,384286.0,1.71,105.0,10.0,10.0,22.0,700598.0,2256 2288 2288 5968 5968 2256 2288 6016 6016 2256
substitution,22,float,448,0,0,7,4,1,default,default,default,,,,,,,,,,,,
substitution,1,float,16,0,0,1,3,0,1,1,1,1819.2,2994.24,27.02,1774.97,1406.0,42.67,6.0,1.0,1.0,2.0,5230.0,3008
substitution,2,cfloat,8,0,0,1,3,1,1,1,1,11347.2,22397.54,2.12,11317.48,13728.0,2.18,6.0,1.0,1.0,2.0,3636.0,5664
substitution,22,cfloat,112,0,0,7,3,1,default,default,default,,,,,,,,,,,,
substitution,2,float,80,0,0,5,2,1,1,1,1,8755.2,16311.36,19.24,8337.48,11224.0,20.02,65.0,15.0,15.0,30.0,57210.0,2096 5472 5440 2128 2096 5472 2096 2128 2128 5472 2160 2112 2160 2160 5360
substitution,22,cfloat,32,0,0,4,2,1,1,1,1,9824.0,19331.52,6.59,9710.74,11082.0,6.25,47.0,10.0,10.0,21.0,28402.0,2792 6486 2792 2804 6486 6516 2792 2804 2804 6410
substitution,22,cfloat,48,0,0,2,2,1,1,1,1,40040.0,78126.29,2.4,39927.54,41325.0,2.51,18.0,3.0,3.0,6.0,36439.0,6544 2824 6478
substitution,2,cfloat,28,0,0,7,3,1,1,1,1,5401.6,10677.54,15.74,5334.74,7546.0,16.0,116.0,28.0,28.0,61.0,55601.0,1920 1952 1920 4496 1952 1952 1952 4496 4496 1920 1952 1920 1952 1952 1952 4496 1952 1920 1952 1952 1952 1952 4400 1952 1952 1920 4496 4464
substitution,2,float,88,0,0,1,2,0,1,1,1,109784.0,207094.82,1.6,109697.02,121620.0,1.8,12.0,1.0,1.0,2.0,65714.0,7312
substitution,2,cfloat,4,0,0,1,2,1,1,1,1,3609.6,10664.11,2.24,3565.66,4361.0,2.29,6.0,1.0,1.0,2.0,1844.0,4368
substitution,2,float,8,0,0,1,1,0,1,1,1,3780.8,11090.74,2.15,3709.04,4540.0,2.2,6.0,1.0,1.0,2.0,1714.0,6144
substitution,1,cfloat,56,0,0,7,1,1,1,1,1,691.2,1675.2,176.55,-1.0,473.0,151.84,229.0,56.0,56.0,99.0,131218.0,1580 2080 1580 2112 2724 2112 2112 1580 2112 2112 2724 2064 2080 1580 2112 2724 2112 2112 1580 2112 2112 1580 2112 2112 2112 2112 2692 2064 1580 2724 1580 2090 1580 2090 1580 1580 1580 1580 1580 1580 1580 2676 1580 1580 2080 1580 1580 1580 2628 1580 1580 1580 1580 1580 1580 1580
substitution,1,cfloat,308,0,0,7,2,0,default,default,default,,,,,,,,,,,,
substitution,1,cfloat,144,0,0,4,2,0,default,default,default,,,,,,,,,,,,
substitution,1,float,96,0,0,4,4,1,1,1,1,5073.6,9291.2,69.32,5539.19,4704.0,102.04,53.0,10.0,10.0,20.0,117984.0,1900 3312 1900 1928 3312 1900 3280 1928 1928 3256
substitution,1,cfloat,8,0,0,2,2,0,default,default,default,,,,,,,,,,,,
substitution,2,cfloat,196,0,0,7,2,0,1,1,1,61960.0,162672.79,4.74,82548.3,106092.0,4.93,139.0,28.0,28.0,63.0,428785.0,2256 2288 2256 7824 2288 2288 2288 7840 7840 2256 2288 2256 2288 2288 2288 7856 2288 2256 2288 2288 2288 2288 7776 2288 2288 2256 7840 7808
substitution,2,cfloat,36,0,0,3,4,1,1,1,1,24508.8,48049.81,5.88,24450.4,30303.0,6.01,30.0,6.0,6.0,12.0,43311.0,2256 2272 5808 2256 5904 5936
substitution,2,float,360,0,0,3,1,1,1,1,0,56107.2,203486.62,3.34,107466.21,122675.0,3.68,67.0,6.0,6.0,13.0,366342.0,2032 2048 5472 2016 5504 5472
substitution,2,cfloat,24,0,0,2,3,1,1,1,1,18403.2,36100.9,3.92,18356.68,22510.0,4.06,15.0,3.0,3.0,6.0,17625.0,2256 5808 5936
substitution,22,float,640,0,0,8,2,0,1,1,1,186625.6,559386.28,4.48,285700.3,299421.0,4.65,340.0,36.0,36.0,78.0,1965148.0,2434 2420 2434 2434 2434 2434 2420 2434 5702 5672 5716 2434 2420 2434 2420 2434 2434 5702 2434 2434 2434 5702 2434 2420 2434 5702 5702 2434 2420 2434 2434 2420 2434 2434 2434 5702
substitution,2,float,192,0,0,4,1,0,1,1,1,27926.4,50450.45,7.37,26049.47,33784.0,7.46,55.0,10.0,10.0,17.0,114344.0,2000 7376 2000 2048 7360 7328 2048 2000 2048 7264
substitution,2,cfloat,16,0,0,2,2,1,1,1,1,7644.8,15033.17,4.22,7581.94,9537.0,4.33,15.0,3.0,3.0,6.0,8537.0,2288 5680 5760
substitution,1,cfloat,4,0,0,1,4,0,default,default,default,,,,,,,,,,,,
substitution,1,cfloat,20,0,0,5,1,1,1,1,0,315.2,1304.68,116.9,171.2,194.0,165.56,113.0,30.0,30.0,40.0,39003.0,1434 1434 1434 1434 2266 1434 1434 1434 1434 1434 1434 1626 1434 2324 1434 1626 2324 1610 1434 1670 1638 1670 1670 1610 1654 1670 1434 2324 2262 1434
substitution,2,cfloat,132,0,0,3,1,0,1,1,1,41411.19,103478.4,2.47,53246.52,66198.0,2.52,36.0,6.0,6.0,12.0,110319.0,2208 2240 7712 2208 7776 7744
substitution,2,float,64,0,0,4,3,1,1,1,1,13038.4,24729.92,15.21,12642.05,15959.0,15.61,45.0,10.0,10.0,19.0,50344.0,2096 5472 2096 2128 5472 5440 2128 2096 2128 5360
substitution,2,cfloat,12,0,0,3,1,0,1,1,1,2724.8,10684.18,4.49,2673.86,3586.0,4.32,27.0,6.0,6.0,11.0,9519.0,1872 1904 6256 1872 6304 6288
substitution,1,cfloat,40,0,0,5,1,0,1,1,0,702.4,1661.15,126.68,316.8,451.0,151.05,113.0,30.0,30.0,40.0,70523.0,1580 1580 1580 1580 2708 1580 1580 1580 1580 1580 1580 2080 1580 2772 1580 2080 2772 2064 1580 2112 2090 2112 2112 2074 2112 2112 1580 2772 2708 1580
substitution,22,cfloat,80,0,0,2,2,1,1,1,1,97846.4,217502.51,1.43,111257.72,113604.0,1.51,23.0,3.0,3.0,6.0,88727.0,6496 2824 6446
substitution,2,cfloat,32,0,0,8,1,1,1,1,1,1868.8,7168.61,17.87,1788.8,3259.0,15.74,152.0,36.0,36.0,83.0,56444.0,1904 1872 1904 1872 1904 1904 1904 1904 4384 1904 1904 1904 4384 4352 1904 1872 1904 1872 4384 1904 1904 1904 4384 1904 1872 4384 4384 1872 1904 1904 1872 1904 1904 1904 4320 1904
substitution,1,cfloat,16,0,0,2,4,1,default,default,default,,,,,,,,,,,,
substitution,22,float,112,0,0,1,1,0,1,1,1,73388.8,134768.32,1.52,73278.28,64410.0,1.82,11.0,1.0,1.0,2.0,53294.0,5584
substitution,22,float,32,0,0,1,1,1,1,1,1,12396.8,23831.68,2.59,12326.28,11895.0,2.82,6.0,1.0,1.0,3.0,6062.0,5522
substitution,22,float,256,0,0,4,4,0,1,1,1,158336.0,352853.94,5.56,184160.86,181697.0,6.01,113.0,10.0,10.0,22.0,698310.0,2420 2434 2434 5672 5716 2420 2434 5702 2420 5702
substitution,1,float,288,0,0,6,1,1,1,1,0,3988.8,6697.89,-1.0,-1.0,3744.0,107.62,105.0,21.0,21.0,47.0,239464.0,1844 1858 1858 1858 3004 2968 1844 1858 1858 1858 1858 2968 1844 1858 1858 3004 1844 1858 3004 1844 3004
substitution,2,float,24,0,0,1,2,0,1,1,1,23932.8,46741.22,2.01,23804.34,28566.0,2.1,6.0,1.0,1.0,2.0,6770.0,7264
substitution,2,cfloat,8,0,0,2,4,0,1,1,1,10732.8,21195.84,3.01,10613.82,13290.0,3.04,15.0,3.0,3.0,6.0,6905.0,1920 6304 6352
substitution,2,cfloat,52,0,0,1,2,1,1,1,1,80177.6,151687.25,1.29,80134.62,89319.0,1.45,10.0,1.0,1.0,2.0,47284.0,5920
substitution,2,float,720,0,0,6,1,0,1,1,1,82641.6,434514.85,3.22,222976.0,271061.0,3.43,224.0,21.0,21.0,45.0,1280028.0,2048 7376 7344 2032 2048 2048 2048 2048 7312 2032 2048 2048 7408 2048 2032 7408 7376 2016 2000 2048 2048
substitution,2,cfloat,24,0,0,1,4,0,1,1,1,76888.0,150090.45,1.24,76849.71,91422.0,1.31,8.0,1.0,1.0,2.0,22900.0,7728
substitution,2,cfloat,12,0,0,3,2,1,1,1,1,3636.8,10755.88,6.67,3593.35,4723.0,6.52,28.0,6.0,6.0,12.0,10863.0,1920 1952 4400 1920 4496 4464
substitution,22,float,80,0,0,5,1,1,1,1,1,5460.8,10679.89,14.84,5384.22,6839.0,14.36,64.0,15.0,15.0,28.0,39720.0,5674 5684 2368 2486 5674 2368 2486 2486 5674 2486 2368 2486 2486 5614 2368
substitution,2,cfloat,4,0,0,1,1,1,1,1,1,1840.0,7134.52,2.24,1782.66,2172.0,2.3,6.0,1.0,1.0,2.0,1588.0,4304
substitution,2,float,24,0,0,3,1,1,1,1,1,1985.6,5785.02,12.37,1937.96,2672.0,11.8,27.0,6.0,6.0,11.0,10278.0,1712 1744 4112 1712 4192 4160
substitution,2,float,16,0,0,2,1,0,1,1,1,3809.6,11123.54,4.3,3718.64,4721.0,4.37,15.0,3.0,3.0,6.0,5172.0,1712 6176 6224
substitution,22,float,32,0,0,2,2,1,1,1,1,10816.0,21202.88,5.93,10775.42,11143.0,6.19,14.0,3.0,3.0,4.0,11785.0,5828 2416 5694
substitution,22,float,144,0,0,3,4,0,1,1,1,83918.4,159061.54,6.87,83837.02,81919.0,7.38,49.0,6.0,6.0,12.0,242961.0,2420 2434 5674 5732 2420 5716
substitution,2,cfloat,96,0,0,2,1,1,1,1,1,35862.4,91084.34,2.02,47347.07,56160.0,2.16,21.0,3.0,3.0,6.0,64761.0,2208 5856 5904
